2023-05-17 22:50:19,400 - INFO - ===================Anomaly Detector Start======================
2023-05-17 22:50:19,575 - INFO - Begin to poll records from sever:192.168.46.134:9092, topic:fish-keeper-washed, group-id:test-5-15-3
2023-05-17 22:51:07,866 - INFO - ===================Anomaly Detector Start======================
2023-05-17 22:51:08,030 - INFO - Begin to poll records from sever:192.168.46.134:9092, topic:fish-keeper-washed, group-id:test-5-15-3
2023-05-17 22:51:12,822 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.412, 'light': 0.0, 'temperature': 29.468, 'humidity': 88.248, 'waterTemperature': 24.483, 'timestamp': '2023-05-17 22:1:18'}, '养鱼3': None}
2023-05-17 22:51:12,822 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.474, 'light': 0.0, 'temperature': 29.48, 'humidity': 88.128, 'waterTemperature': 23.504, 'timestamp': '2023-05-17 22:1:48'}, '养鱼3': None}
2023-05-17 22:51:12,822 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.474, 'light': 0.0, 'temperature': 29.538, 'humidity': 88.134, 'waterTemperature': 23.504, 'timestamp': '2023-05-17 22:2:18'}, '养鱼3': None}
2023-05-17 22:51:12,823 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 22.355, 'light': 0.0, 'temperature': 29.518, 'humidity': 88.102, 'waterTemperature': 24.493, 'timestamp': '2023-05-17 22:2:48'}, '养鱼3': None}
2023-05-17 22:51:12,823 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.432, 'light': 0.0, 'temperature': 29.566, 'humidity': 88.07, 'waterTemperature': 23.516, 'timestamp': '2023-05-17 22:3:18'}, '养鱼3': None}
2023-05-17 22:51:12,830 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 24.953, 'light': 0.0, 'temperature': 29.543, 'humidity': 88.017, 'waterTemperature': 22.08, 'timestamp': '2023-05-17 22:3:48'}, '养鱼3': None}
2023-05-17 22:51:12,830 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.49, 'light': 0.0, 'temperature': 29.565, 'humidity': 87.927, 'waterTemperature': 24.503, 'timestamp': '2023-05-17 22:4:18'}, '养鱼3': None}
2023-05-17 22:51:12,830 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 23.263, 'light': 0.0, 'temperature': 29.58, 'humidity': 87.857, 'waterTemperature': 19.627, 'timestamp': '2023-05-17 22:4:48'}, '养鱼3': None}
2023-05-17 22:51:12,830 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.806, 'light': 0.0, 'temperature': 29.616, 'humidity': 87.766, 'waterTemperature': 23.504, 'timestamp': '2023-05-17 22:5:18'}, '养鱼3': None}
2023-05-17 22:51:12,831 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.09, 'light': 0.0, 'temperature': 29.675, 'humidity': 87.743, 'waterTemperature': 22.065, 'timestamp': '2023-05-17 22:5:48'}, '养鱼3': None}
2023-05-17 22:51:12,838 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.703, 'light': 0.0, 'temperature': 29.657, 'humidity': 87.718, 'waterTemperature': 24.533, 'timestamp': '2023-05-17 22:6:18'}, '养鱼3': None}
2023-05-17 22:51:12,838 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.165, 'light': 0.0, 'temperature': 29.663, 'humidity': 87.598, 'waterTemperature': 24.543, 'timestamp': '2023-05-17 22:6:48'}, '养鱼3': None}
2023-05-17 22:51:12,838 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 23.012, 'light': 0.0, 'temperature': 29.732, 'humidity': 87.536, 'waterTemperature': 23.576, 'timestamp': '2023-05-17 22:7:18'}, '养鱼3': None}
2023-05-17 22:51:12,838 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 21.14, 'light': 0.0, 'temperature': 29.734, 'humidity': 87.496, 'waterTemperature': 23.588, 'timestamp': '2023-05-17 22:7:48'}, '养鱼3': None}
2023-05-17 22:51:12,839 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.77, 'light': 0.0, 'temperature': 29.752, 'humidity': 87.42, 'waterTemperature': 23.576, 'timestamp': '2023-05-17 22:8:18'}, '养鱼3': None}
2023-05-17 22:51:12,845 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 20.777, 'light': 0.0, 'temperature': 29.775, 'humidity': 87.32, 'waterTemperature': 22.095, 'timestamp': '2023-05-17 22:8:48'}, '养鱼3': None}
2023-05-17 22:51:12,846 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 17.392, 'light': 0.0, 'temperature': 29.805, 'humidity': 87.288, 'waterTemperature': 24.533, 'timestamp': '2023-05-17 22:9:18'}, '养鱼3': None}
2023-05-17 22:51:12,846 - INFO - Receive data: {'养鱼1': None, '养鱼2': {'TDS': 18.942, 'light': 0.0, 'temperature': 29.83, 'humidity': 87.196, 'waterTemperature': 23.564, 'timestamp': '2023-05-17 22:9:48'}, '养鱼3': None}
